,code_bss,Class,NSE_tr,KGE_tr,MAE_tr,RMSE_tr,NRMSE_tr,NSE_te,KGE_te,MAE_te,RMSE_te,NRMSE_te,R2_tr,R2_te
0,00068X0010/F295,mixed,0.8238500925038109,0.7916095177417982,0.7246378604519411,0.9405237192255661,0.0763567054374318,0.5510912552243993,0.6837750282814734,0.9192165865677536,1.1237338644617174,0.16809916261048685,0.8238500925038109,0.5510912552243993
1,00241X0012/P1,mixed,0.8397536582338174,0.8083572821204589,0.8576521847845036,1.1866226880731694,0.07203658752910427,0.6250624939742777,0.6699840149110179,1.149291814619415,1.4974708427190297,0.14763103937420602,0.8397536582338174,0.6250624939742777
2,00263X0006/P1,mixed,0.605504115211453,0.648907974803675,1.018913540853694,1.266136197186868,0.14021441829311937,0.38732732963856153,0.4717608551947282,1.0305856487818985,1.3204997360124069,0.2041799406265964,0.605504115211453,0.38732732963856153
3,00271X0002/P2,mixed,0.8369925139762127,0.8021724741821634,0.718261464396259,0.9414132351483997,0.07498910587449414,0.7245761456368831,0.6293721134732795,0.7717210833106586,0.9664466448192919,0.14357432576299264,0.8369925139762127,0.7245761456368831
4,00332X0007/S1,mixed,0.8304033311593552,0.919675448227523,0.5552202611624868,0.7111013113177045,0.06063795611134175,0.5814417118205398,0.8211563268681944,0.5984761961022916,0.7768632459044474,0.14285075972814773,0.8304033311593552,0.5814417118205398
5,00471X0095/PZ2013,mixed,0.8332886561042162,0.7134593482868041,1.1244211970654805,1.4093068926668455,0.08627265113812527,0.6725187614042774,0.6094844319081076,1.1198440772695226,1.3870454959297298,0.1397115241590355,0.8332886561042162,0.6725187614042774
6,00755X0006/S1,mixed,0.27611475815224074,0.7890461045461742,1.536839259182476,1.8290742784663856,0.13941114927335252,-5.197569632174686,0.5253350910066628,2.475899783737939,2.70456611043786,0.5264632218709302,0.27611475815224074,-5.197569632174686
7,00773X0002/S1,mixed,0.7935740477996844,0.7445956403025897,2.3126207348557903,2.747874729032469,0.093720147647765,0.6965976040690438,0.6905375253512189,1.886589722614018,2.4821232990774194,0.14231270348658842,0.7935740477996844,0.6965976040690438
8,00791X0017/S1,mixed,0.8928075684851052,0.8745295190271845,0.5512830974782038,0.7170638592963874,0.058016663501819034,0.476937866067749,0.8697136164335019,0.6947771536298051,0.9042849982759776,0.18519045633339773,0.8928075684851052,0.476937866067749
9,00794X0021/S1,mixed,0.5735815781366231,0.6237236643840447,1.0953002825615907,1.4014524397319228,0.1425502038641912,-1.3088545242753704,0.30007919045738085,0.7601203663259861,1.0267613928121289,0.35769426678701316,0.5735815781366231,-1.3088545242753704
10,00805X0002/S1,mixed,0.8601469625947881,0.7833741779430876,0.6771042354145695,0.8263464658042026,0.07350202052961548,0.4885464600961399,0.8139419895827218,0.6388843120588442,0.7556612146867469,0.16177122309537018,0.8601469625947881,0.4885464600961399
11,00817X0145/PZ_SN,mixed,0.6612402236633312,0.7494800616985966,1.7531343110422766,2.0412658422168426,0.1129487255342007,-1.441732533774017,0.6950737789862691,2.3891019875890755,2.7735905280174245,0.4136102865525317,0.6612402236633312,-1.441732533774017
12,00821X0035/S1,mixed,0.47862424527409697,0.6391014640198107,0.6149317157247626,0.7663233913177656,0.16625643078333657,0.33548647923609565,0.5337030657869006,0.4337299781542579,0.5442338200184166,0.21853854370971096,0.47862424527409697,0.33548647923609565
13,00957X0005/S1,mixed,0.7558596074807196,0.7256968609331802,0.4652919866435227,0.6128281042399666,0.09530763674027475,0.4720908697294468,0.5337424316930979,0.72839562388386,0.8323090976420269,0.15704136402696806,0.7558596074807196,0.4720908697294468
14,01003X0008/S1,mixed,-0.5503602833092962,0.7742680200443298,2.185468950097545,2.3760300285122375,0.15989434915963915,-29.776276369417847,-0.33349206826881383,3.77342383790824,3.980764603697583,1.3799532877980072,-0.5503602833092962,-29.776276369417847
15,01013X0004/S1,mixed,0.8039600963288229,0.7586870001181739,0.6469361501626093,0.9086695695894311,0.08846832385569428,0.25501116217561615,0.7049673813663855,0.8067879241320594,1.0833001231003596,0.1943420359728648,0.8039600963288229,0.25501116217561615
16,01024X0058/S1,mixed,0.6433862119331759,0.7160076222097602,1.2379448387132772,1.5966871929963196,0.12413345026922781,0.047172806736552664,0.46057804283459625,1.9921199701786272,2.3669652569773536,0.2359336734867949,0.6433862119331759,0.047172806736552664
17,01031X0023/S1,mixed,0.8739953978880158,0.8735296721057068,1.0469374113595349,1.308404149769203,0.06171717687590575,-0.33713603046876583,0.5189733249836969,1.6339520821376665,1.923350817394589,0.3075377193512942,0.8739953978880158,-0.33713603046876583
18,01045X0015/S1,mixed,0.7668063390987616,0.8813485953772109,0.41022684270361437,0.5009634864945178,0.07888774654787434,0.10564812883956798,0.8025341289914547,0.6666915932600576,0.7682178120985846,0.237031105244858,0.7668063390987616,0.10564812883956798
19,01046X0010/S1,mixed,0.7431650324111041,0.806914761564206,0.9826033815737888,1.3096012358639544,0.09216771094319394,-0.15998576907756878,0.693503790257642,1.264629327713949,1.5219286501100033,0.28199024656870575,0.7431650324111041,-0.15998576907756878
