,code_bss,Class,NSE_tr,KGE_tr,MAE_tr,RMSE_tr,NRMSE_tr,NSE_te,KGE_te,MAE_te,RMSE_te,NRMSE_te,R2_tr,R2_te
0,00068X0010/F295,mixed,0.7078547387387122,0.8007213298292574,0.9691845642466091,1.2112337566669042,0.09833438251811685,0.5540385883827013,0.6897169571643589,0.9698673817163869,1.120038823605526,0.16754642206098422,0.7078547387387122,0.5540385883827013
1,00182X0010/P1,annual,0.3666547301836628,0.4689496853295705,4.220773856235729,5.303909300446706,0.18499858041320913,0.37600228710332606,0.4146740136727477,4.67578988995099,5.774560624473923,0.22072103295647716,0.3666547301836628,0.37600228710332606
2,00241X0012/P1,mixed,0.8049390402367931,0.7992085588766047,0.969584753859608,1.3091932701635371,0.07947750919189789,0.4872825154722169,0.5589503697000553,1.263631875359377,1.751128417199193,0.17263835858026877,0.8049390402367931,0.4872825154722169
3,00263X0006/P1,mixed,0.6671213805447557,0.6762434415131405,0.9552454204950152,1.1630600465725176,0.12879956218964755,0.48521161048703054,0.4143809232695579,0.9819275664088353,1.2104265366687603,0.1871600664883148,0.6671213805447557,0.48521161048703054
4,00271X0002/P2,mixed,0.7576123397026613,0.8047666678557628,0.9421488745275071,1.1479732761605577,0.09144282907125677,0.6186213376148518,0.4229230625477177,0.9017402454966286,1.137248316125526,0.16894844747828935,0.7576123397026613,0.6186213376148518
5,00332X0007/S1,mixed,0.7946265932270816,0.8943860428832259,0.6041293730102106,0.7825190595334437,0.06672798324664823,0.4994663217460935,0.5383672890118825,0.6257011537566611,0.8495388692569937,0.15621446056527663,0.7946265932270816,0.4994663217460935
6,00471X0095/PZ2013,mixed,0.8175075601862463,0.7311690687969878,1.2130018161935467,1.4745022462764725,0.09026367397854196,0.6105829749247503,0.4642318849595979,1.2266739709613312,1.5125333583166651,0.15235141273441807,0.8175075601862463,0.6105829749247503
7,00572X0010/S1,inertial,0.8239621257930136,0.8080885910891247,0.6002792525989815,0.7650206864792615,0.06873501226228768,0.16540440633637765,0.4404042674304619,0.7156796622050505,0.8579624025810112,0.20968916960573264,0.8239621257930136,0.16540440633637765
8,00578X0002/S1,inertial,0.834654524092888,0.713908939984951,1.487067452034943,1.8791013472846214,0.09592998729624606,0.3680020748019166,0.45195162393813104,1.3066370170083221,1.612522425874667,0.20348141993875668,0.834654524092888,0.3680020748019166
9,00583X0005/S1,inertial,0.8976653261776762,0.9312494757341694,0.8539898251444308,1.0292487161989006,0.057339761348128154,0.4145517803753038,0.1840235674783035,0.8807297560724785,1.1813736451813281,0.19234897274749993,0.8976653261776762,0.4145517803753038
10,00608X0028/S1,inertial,0.7202398043028726,0.7003781887318586,2.4396178804345476,3.0732178799707213,0.12075512298509716,0.19071601283664297,0.21816876168131638,1.8640565222314647,2.496824765423234,0.22783259567338884,0.7202398043028726,0.19071601283664297
11,00671X0052/S1,annual,0.7037898734138498,0.743195887349912,1.0493688098795497,1.3101969414144135,0.1182488214272935,0.6275813122117034,0.6617734035294109,1.0202246461408642,1.2864315316397417,0.1528419834539912,0.7037898734138498,0.6275813122117034
12,00755X0006/S1,mixed,0.351992600354175,0.8908609923791755,1.5447445607096428,1.7305592130331682,0.13190237904216215,-5.989023289727109,0.4426325444532374,2.786125200954558,2.8720707774941836,0.5590692085970645,0.351992600354175,-5.989023289727109
13,00766X0004/S1,inertial,0.6406021162746712,0.8088039328204271,4.609716889334664,5.193805908921446,0.11873591836135215,-0.11604865043553514,-0.000837033106537044,2.286368664501191,3.2873629241782045,0.24633755373082852,0.6406021162746712,-0.11604865043553514
14,00773X0002/S1,mixed,0.7599740957650982,0.7561749440139851,2.4910005832304956,2.9630831514143448,0.10106013476856567,0.3373496474558524,0.636482972221702,3.118538735268801,3.6682258318666157,0.21031797063679838,0.7599740957650982,0.3373496474558524
15,00791X0017/S1,mixed,0.8047407291583638,0.9052033470693926,0.8287872392408739,0.9677910568820618,0.07830266071740266,-0.8318839307257695,0.49059033650810124,1.4827229824343322,1.692301198523967,0.3465699771705864,0.8047407291583638,-0.8318839307257695
16,00794X0021/S1,mixed,0.77697848885838,0.7217064433371886,0.8083554954994036,1.0135233573475377,0.1030915906348185,-3.817096111305778,-0.043130106711034344,1.2211090802569993,1.4830776879713188,0.5166617968894993,0.77697848885838,-3.817096111305778
17,00805X0002/S1,mixed,0.8908074113952648,0.8009944295234114,0.5797471076436881,0.7301680126888563,0.06494712143107458,-0.7472876320774358,0.5378458605068732,1.1955305796450686,1.3967099887032275,0.29900632557369833,0.8908074113952648,-0.7472876320774358
18,00817X0145/PZ_SN,mixed,0.4782624145608513,0.7136320710472771,2.2809995008858253,2.5332596842651602,0.14017206718855496,-6.320453790476421,0.16447161178204373,4.440679686044686,4.8024439226633735,0.7161620242570944,0.4782624145608513,-6.320453790476421
19,00821X0035/S1,mixed,0.6502845944896514,0.6341868227034453,0.49782382859380514,0.6276160604420062,0.13616340998276893,0.026477514993301976,0.12013393063219768,0.5050925039500546,0.658728735279388,0.26451428267141813,0.6502845944896514,0.026477514993301976
20,00847X0043/S1,annual,0.6544037925283773,0.6449635628986216,1.9430245280235012,2.4178926244870476,0.11018802785145283,0.5583871079404031,0.6547118305259647,2.454025295529559,3.037617435754258,0.16528784909582422,0.6544037925283773,0.5583871079404031
21,00853X0030/PZ2013,annual,0.35504405414207096,0.6645615039499445,2.0143625242301253,2.3232657643888204,0.18596540177610033,0.4721150814022774,0.5015577857034637,1.7790341480428966,2.11584867871022,0.19088326942557726,0.35504405414207096,0.4721150814022774
22,00862X0005/S1,annual,0.6452132876463241,0.6590949373854477,0.4163224741617423,0.5258941669558734,0.14700046595552016,0.5461465616041559,0.5831491606809932,0.5074999778011953,0.5941926269786185,0.19140085243481014,0.6452132876463241,0.5461465616041559
23,00957X0005/S1,mixed,0.7317503520224109,0.6862550576758331,0.5020048393977676,0.6423747104044671,0.0999027543397305,0.6807159341524364,0.506108877893853,0.5655291945514818,0.6472822201047106,0.12213020744772304,0.7317503520224109,0.6807159341524364
