,code_bss,Class,NSE_tr,KGE_tr,MAE_tr,RMSE_tr,NRMSE_tr,NSE_te,KGE_te,MAE_te,RMSE_te,NRMSE_te,R2_tr,R2_te
0,00068X0010/F295,mixed,0.8037616768364041,0.8471166334012314,0.7902923819520048,0.9927055614717732,0.08059310423964063,0.5316443331299265,0.663380297646969,0.9695049522801078,1.1478161358201326,0.1717016255931676,0.8037616768364041,0.5316443331299265
1,00182X0010/P1,annual,0.3799208833929546,0.4903609256357214,4.339749155311641,5.248067058579258,0.18305082171535603,0.35547574708748375,0.29946462386751393,4.708983422457188,5.8687698467306015,0.22432199209480375,0.3799208833929546,0.35547574708748375
2,00241X0012/P1,mixed,0.8317478631199177,0.8548628003404918,0.9258716566830223,1.215902860391917,0.0738141059579249,0.5816165856657083,0.6722598205975869,1.2015483918921674,1.5818531429985958,0.15595003052894468,0.8317478631199177,0.5816165856657083
3,00263X0006/P1,mixed,0.7077001992914653,0.687328172384678,0.8816139990397018,1.0898668572006263,0.12069400411967067,0.2870377278868709,0.47881026221176337,1.1072967378677716,1.4244832244830188,0.22025820397119159,0.7077001992914653,0.2870377278868709
4,00271X0002/P2,mixed,0.7937340479001389,0.8260741018297955,0.8628056778183462,1.0589861928511213,0.08435448405696361,0.6192526980310333,0.686276341076461,0.8736063195926067,1.1363065867506548,0.16880854512488666,0.7937340479001389,0.6192526980310333
5,00332X0007/S1,mixed,0.77588021322253,0.9004077157539127,0.6327258936506355,0.8174532427064305,0.06970693636108388,0.5291368316915055,0.7604662246406046,0.6896385906618031,0.8239748618617273,0.15151371317201023,0.77588021322253,0.5291368316915055
6,00471X0095/PZ2013,mixed,0.8140353934855513,0.7287551499554432,1.2370625635456987,1.4884633565514915,0.09111832246037717,0.582504176142703,0.6603867375547718,1.2301852119996057,1.5661146859903068,0.1577484447551532,0.8140353934855513,0.582504176142703
7,00572X0010/S1,inertial,0.8359910366467456,0.814215959078578,0.5893765941644753,0.7384207853376471,0.06634508403752447,0.17466095130753134,0.6041831129626749,0.7115036768136163,0.8531912827498309,0.20852309035508018,0.8359910366467456,0.17466095130753134
8,00578X0002/S1,inertial,0.7374173420443622,0.6486940121867644,1.8511405941479624,2.368029267617046,0.12089024250230294,0.05338131154441861,0.5675830912897473,1.6348886037504984,1.9734924718478266,0.2490316066098881,0.7374173420443622,0.05338131154441861
9,00583X0005/S1,inertial,0.8045519105680835,0.8758978765508914,1.2075576594283377,1.422409498843921,0.07924286901637442,-0.24309853580196839,0.3979665863676327,1.3773565923005036,1.7214555403626326,0.2802840626840134,0.8045519105680835,-0.24309853580196839
10,00608X0028/S1,inertial,0.6930153775413661,0.6941268191828994,2.591188397366361,3.219279620543288,0.12649428764413712,-0.8477596583128,0.1261319486293918,2.9408709950510867,3.7727700012754046,0.34426123698094885,0.6930153775413661,-0.8477596583128
11,00671X0052/S1,annual,0.7185920578792087,0.7053141408935677,1.0260244506903702,1.2770408965376365,0.1152563986044797,0.6358616940358447,0.7523928993396836,1.068017615645795,1.2720498393706523,0.15113328282145094,0.7185920578792087,0.6358616940358447
12,00755X0006/S1,mixed,0.2766206500294386,0.8665065578896572,1.6118236810630588,1.828435036575084,0.1393624265682228,-7.374498316659903,0.3515293552819334,2.8929412841473834,3.14388241216281,0.611979295866657,0.2766206500294386,-7.374498316659903
13,00766X0004/S1,inertial,0.5119352249758877,0.7858816103804789,5.332495820881943,6.052526375482657,0.13836718009904916,-1.4042611714150053,-0.019712712606145377,3.8666201302334677,4.824995479196255,0.3615595875848238,0.5119352249758877,-1.4042611714150053
14,00773X0002/S1,mixed,0.7846993332726588,0.7895295204074644,2.2602056857615622,2.80632179483116,0.09571356735440521,0.3435331940304055,0.571943929298451,2.8578105624665207,3.651070623602092,0.209334375636539,0.7846993332726588,0.3435331940304055
15,00791X0017/S1,mixed,0.7850254890565918,0.9198473252077746,0.8530980367644414,1.0154750510502666,0.0821607079585424,-0.7648927865573356,0.4674522682927704,1.3219963095532448,1.6610696744074873,0.34017400663679986,0.7850254890565918,-0.7648927865573356
16,00794X0021/S1,mixed,0.7447902648498216,0.7261308119862064,0.8701167706054183,1.0841990017799146,0.11028043788816916,-4.49339358113862,-0.3168942058792288,1.1397202226650351,1.5837681442189546,0.5517394684615722,0.7447902648498216,-4.49339358113862
