,code_bss,Class,NSE_tr,KGE_tr,MAE_tr,RMSE_tr,NRMSE_tr,NSE_te,KGE_te,MAE_te,RMSE_te,NRMSE_te,R2_tr,R2_te
0,00068X0010/F295,mixed,0.8789334804247734,0.9287832241148586,0.5816662533914942,0.7797234066622759,0.06330208294396396,0.30045051241681164,0.6149206986677872,1.1005057093252721,1.4027932175880593,0.2098436050115642,0.8789334804247734,0.30045051241681164
1,00182X0010/P1,annual,0.8136747953843758,0.8731416976739808,2.1586338359939004,2.8768129600053816,0.10034227275916921,0.866771457872855,0.8674233230261321,2.0756659731272475,2.668247333046803,0.10198841883093217,0.8136747953843758,0.866771457872855
2,00241X0012/P1,mixed,0.8816720734887524,0.8485906534287709,0.7507975565324893,1.019676036351741,0.061901717186325186,0.6312151764358538,0.7843764994355633,1.062937735650622,1.4851333547881007,0.14641472442866585,0.8816720734887524,0.6312151764358538
3,00263X0006/P1,mixed,0.9460246167513928,0.9416420279583865,0.3704663050883116,0.4683354729559817,0.05186439346134902,0.7930426281660012,0.7373299837944672,0.5867424264377387,0.7674754903277212,0.11866954288130942,0.9460246167513928,0.7930426281660012
4,00271X0002/P2,mixed,0.8241288675896733,0.86794316492138,0.7849507169741049,0.977853523212657,0.07789178932711939,0.8328198120858874,0.9054683946267092,0.5991992786883569,0.7529558492085899,0.11185835137297058,0.8241288675896733,0.8328198120858874
5,00332X0007/S1,mixed,0.7853016310050639,0.7438020550484935,0.5888668110595269,0.8000869618737548,0.06822605626961328,0.5416936175543846,0.7553611450186066,0.5715512664960256,0.8129139094832059,0.14947980893092455,0.7853016310050639,0.5416936175543846
6,00471X0095/PZ2013,mixed,0.9587758545699141,0.9294440884506764,0.5122596983837365,0.7008076445188063,0.04290089954508929,0.775019658809891,0.8749440434366258,0.9619552338074957,1.1496609491417917,0.11580073180156196,0.9587758545699141,0.775019658809891
7,00572X0010/S1,inertial,0.9070958265887563,0.8745639396882905,0.40605682537175547,0.5557605720751316,0.049933564427235566,0.3951328966346793,0.729584595263715,0.5454050242568841,0.7303990432862878,0.1785122149954138,0.9070958265887563,0.3951328966346793
8,00578X0002/S1,inertial,0.7001973754057014,0.652906540304886,1.8932270519231318,2.5302985169806624,0.12917424860581478,0.5169191696129033,0.6199668373095348,1.1813603364190113,1.4098010803492709,0.17790036346629984,0.7001973754057014,0.5169191696129033
9,00583X0005/S1,inertial,0.7990106992348959,0.7684553823628294,1.179683544419245,1.442432166909854,0.0803583379894069,0.6000934509861119,0.6763178415670081,0.7693007748737184,0.9763876813545054,0.15897355445323655,0.7990106992348959,0.6000934509861119
10,00608X0028/S1,inertial,0.7310672449007498,0.788708839389303,2.5105507075587656,3.0131603241694993,0.11839529760980357,0.46914326207166146,0.4855472042842365,1.6373514811717096,2.0222100140132113,0.18452450603246598,0.7310672449007498,0.46914326207166146
11,00671X0052/S1,annual,0.8144122403972046,0.899310563147908,0.8282772241910435,1.0370776977609408,0.09359907019503065,0.6951634307814328,0.8327557535176499,0.888880865471909,1.1638700064604146,0.13828034830837463,0.8144122403972046,0.6951634307814328
12,00755X0006/S1,mixed,0.3534096274879941,0.3531702404859002,1.0938867202238973,1.7286660313797846,0.13175808166004452,0.4746213381464427,0.48829244906045677,0.6381777497089426,0.7874502212364457,0.15328284227742528,0.3534096274879941,0.4746213381464427
13,00766X0004/S1,inertial,0.678555020260105,0.566731749041147,3.889088176697966,4.911919968669842,0.11229170643355645,-0.6041071924428203,0.6210268471747393,3.4091700404533563,3.9411483490016592,0.29532876824850796,0.678555020260105,-0.6041071924428203
14,00773X0002/S1,mixed,0.8377956570107683,0.7623392215973891,1.8928024331034494,2.435824648678202,0.08307723904086639,0.6430915758516005,0.5462535693377036,2.2359537442932425,2.6921065679035485,0.15435210809018116,0.8377956570107683,0.6430915758516005
15,00791X0017/S1,mixed,0.6751363590525195,0.5857626263547604,0.9765322970925461,1.2483211441715458,0.10099996928400652,0.48678332935078084,0.426621941905707,0.747216690471741,0.895734007514973,0.18343928067068943,0.6751363590525195,0.48678332935078084
16,00794X0021/S1,mixed,0.5833366388395553,0.5967844995348293,1.0974066577182628,1.385329368274974,0.14091022875126866,0.20089898459759115,0.48594218427065894,0.5046550161672636,0.604048884646453,0.21043333379078508,0.5833366388395553,0.20089898459759115
17,00805X0002/S1,mixed,0.5937380169793778,0.622816294407221,1.1111972909351784,1.4084106956304232,0.12527557888640625,0.32533868186168213,0.709125573503851,0.7003510716561522,0.8678945134118586,0.18579801930233952,0.5937380169793778,0.32533868186168213
18,00817X0145/PZ_SN,mixed,0.971721405959895,0.9097402502591955,0.4664656461406096,0.5897698354813501,0.03263355017188269,0.4793404068491992,0.7763561338035634,1.0597203197170184,1.2807673209736103,0.19099377982577437,0.971721405959895,0.4793404068491992
19,00821X0035/S1,mixed,0.892014361596147,0.8059633176870141,0.2951104936680267,0.3487543767060554,0.07566343210731089,0.7055930551764463,0.7561990193849913,0.30017899853038593,0.36224937152423675,0.1454622024592037,0.892014361596147,0.7055930551764463
20,00847X0043/S1,annual,0.8965266478707671,0.8966315093356635,1.0289939825253867,1.3230211468294293,0.06029262403901392,0.7692474298799842,0.8424690690237411,1.7922526962642404,2.1957630813133755,0.11947948170247082,0.8965266478707671,0.7692474298799842
21,00853X0030/PZ2013,annual,0.8452765921336646,0.8481932626155875,0.8690392461151543,1.1379203874250567,0.09108463839150382,0.7840130001234076,0.802079452581522,1.008956564982853,1.3534081372198896,0.1220989821716332,0.8452765921336646,0.7840130001234076
22,00862X0005/S1,annual,0.7236769263674193,0.8408321056912517,0.3622311515631198,0.4641124901723933,0.1297309546254069,0.671573420400489,0.8504967486655249,0.39415301871177383,0.5054620940541383,0.16281904433480554,0.7236769263674193,0.671573420400489
23,00957X0005/S1,mixed,0.8875690777526375,0.806358457516292,0.31446496680653296,0.41587397272262827,0.06467713417148185,0.6455419129247479,0.7424137029795583,0.5583697835311029,0.6820049076538263,0.12868173767951274,0.8875690777526375,0.6455419129247479
24,00993X0002/S1,inertial,0.10273906225253948,0.2826139543611278,1.4119260340938538,1.8416923713266526,0.21244576898450263,-28.646508245946613,-0.07553243260806308,1.0975042320967054,1.1299614391337724,1.425093759688647,0.10273906225253948,-28.646508245946613
25,01003X0008/S1,mixed,0.42038458373484133,0.4457776469992899,0.9850049269345229,1.4527991327460494,0.09776575590484855,-0.2826226483495513,0.5086459119841402,0.6519716509443484,0.8126581825375115,0.2817122946197164,0.42038458373484133,-0.2826226483495513
26,01013X0004/S1,mixed,0.2740917051170604,0.2850474492027498,1.398516621653063,1.7485361822261642,0.17023797254757633,0.5094438688930396,0.5079455603324599,0.7214140065551325,0.8790594836288986,0.15770164347509127,0.2740917051170604,0.5094438688930396
27,01024X0058/S1,mixed,0.823471369800216,0.8931749124388225,0.8959949513015253,1.1233843053868684,0.08733681238106687,0.48716786642343335,0.639245374843237,1.357600060969329,1.7364905594561255,0.17308940021824035,0.823471369800216,0.48716786642343335
28,01031X0023/S1,mixed,0.8550696247796777,0.7743583155765603,1.1153679561421168,1.4032285670433857,0.06619002674732946,-0.49480470987176206,0.46344310147530177,1.8199753851740332,2.0335878545369583,0.3251642733237684,0.8550696247796777,-0.49480470987176206
29,01045X0015/S1,mixed,0.8542122178184567,0.9306817579567546,0.31935467800326334,0.3961031235936072,0.0623751703732519,0.8380725437210761,0.9063094196984143,0.27514747653320604,0.32688155060766627,0.10085823838558047,0.8542122178184567,0.8380725437210761
30,01046X0010/S1,mixed,0.683199838975445,0.5574428788885137,1.1477149769982204,1.4544697632150636,0.10236333399852396,0.5340392298827858,0.6641892448489193,0.7921637337589754,0.9645897423066809,0.17872381813105698,0.683199838975445,0.5340392298827858
31,01053X0058/S1,inertial,0.5935345059761175,0.6524232227580543,0.3997943393349227,0.46332344934405406,0.1607633560262258,-70.08573043965161,-1.0519987834464168,1.2225993036387874,1.2688092455678313,2.1253086190415633,0.5935345059761175,-70.08573043965161
