,code_bss,Class,NSE_tr,KGE_tr,MAE_tr,RMSE_tr,NRMSE_tr,NSE_te,KGE_te,MAE_te,RMSE_te,NRMSE_te,R2_tr,R2_te
0,00068X0010/F295,mixed,0.8211092936229073,0.7898390725800968,0.721641757351824,0.947812500713667,0.07694844738897236,0.38632386761016235,0.6573080229991717,1.0114110464190675,1.3138750098701362,0.19654234505054305,0.8211092936229073,0.38632386761016235
1,00241X0012/P1,mixed,0.8442194643833714,0.8271071422296783,0.8432982578875193,1.1699712292935045,0.07102572343563547,0.4147938036928541,0.5504240781179476,1.5582239946960836,1.8708259693006497,0.18443897166946924,0.8442194643833714,0.4147938036928541
2,00263X0006/P1,mixed,0.6619057759710372,0.6820636141869689,0.956830170671388,1.1721361545623352,0.12980466827932835,0.17428117665810483,0.4963376637013459,1.2574546012372083,1.5329929485305118,0.23703632850178016,0.6619057759710372,0.17428117665810483
3,00271X0002/P2,mixed,0.8242786362932297,0.8128000624665996,0.7354267197763161,0.9774370732681483,0.07785861663757752,0.4877272574622876,0.6464282138399728,1.0870540633281676,1.3180373914257084,0.19580628772294353,0.8242786362932297,0.4877272574622876
4,00332X0007/S1,mixed,0.8564086113268017,0.9286288396822086,0.5018882518538779,0.6543152138384044,0.05579561813237866,0.519489026660026,0.7793746703019419,0.6022622116281063,0.8323735225147554,0.15305807128305354,0.8564086113268017,0.519489026660026
5,00471X0095/PZ2013,mixed,0.8347132180194421,0.7355078704618614,1.108462540790348,1.403272653562183,0.08590325692890836,0.2958742561284625,0.5983306096296697,1.65971127912921,2.0338672620893394,0.20486328383424704,0.8347132180194421,0.2958742561284625
6,00755X0006/S1,mixed,0.40287206314096036,0.777212051861532,1.3971548625363859,1.661231571902825,0.12661826005356894,-3.7896680533146334,0.4867198633761791,2.145502863295358,2.3776044352837205,0.46281778304595844,0.40287206314096036,-3.7896680533146334
7,00773X0002/S1,mixed,0.7767382987980868,0.6835463035288015,2.3787410046606494,2.857734623350114,0.09746707446623856,0.6423929383697842,0.7196957852130812,2.1259731439938077,2.694740138478501,0.15450310403324471,0.7767382987980868,0.6423929383697842
8,00791X0017/S1,mixed,0.8900365708694348,0.8371676281313528,0.5660157784115613,0.7262730186897209,0.05876176408767468,0.6681778122045812,0.8299629533828818,0.5174498845068495,0.7202468983290412,0.14750090074319966,0.8900365708694348,0.6681778122045812
9,00794X0021/S1,mixed,0.6267655591377506,0.6375587910940053,1.033904390194052,1.311146562803945,0.13336464693677935,-0.8346123264452487,0.331722794804732,0.6821686886676396,0.9152577164473381,0.3188495789748585,0.6267655591377506,-0.8346123264452487
